Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
To-Itacaja;0;0;0;0;0;0;0;0;0;0;0
To-Itaguatins;0;0;0;0;0;0;0;0;0;0;0
To-Itapiratins;0;0;0;0;0;0;0;0;0;0;0
To-Itapora do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Jau do Tocantins;0;0;0;0;0;0;0;2;3;1;0
To-Juarina;0;0;0;0;0;0;0;0;0;0;0
To-Lagoa da Confusao;5;5;6;2;2;2;0;1;2;3;0
To-Lagoa do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Lajeado;0;0;0;0;0;0;0;0;0;0;0
To-Lavandeira;0;0;0;0;0;0;0;0;0;0;0
To-Lizarda;0;0;0;0;0;0;0;0;0;0;0
To-Luzinopolis;0;0;0;0;0;0;0;0;0;0;0
To-Marianopolis do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Mateiros;0;0;0;0;0;0;0;0;0;0;0
To-Maurilandia do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Miracema do Tocantins;14;12;12;8;5;9;5;0;0;7;0
To-Miranorte;0;0;0;0;0;0;0;0;0;3;0
To-Monte do Carmo;0;0;0;0;0;0;0;0;0;0;0
To-Monte Santo do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Palmeiras do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Muricilandia;0;0;0;0;0;0;0;0;0;0;0
To-Natividade;6;3;0;0;0;0;0;0;0;0;0
To-Nazare;0;0;0;0;0;0;0;0;0;0;0
To-Nova Olinda;379;389;424;400;356;358;263;241;6;283;264
To-Nova Rosalandia;0;0;0;0;0;0;0;0;0;1;0
To-Novo Acordo;0;0;0;0;0;0;0;0;0;0;0
To-Novo Alegre;0;0;0;0;0;0;0;0;0;0;0
To-Novo Jardim;0;0;0;0;0;0;0;0;0;0;0
To-Oliveira de Fatima;0;0;0;0;0;0;0;0;0;0;0
To-Palmeirante;0;0;0;0;0;0;0;0;0;0;0
To-Palmeiropolis;8;5;4;0;0;0;0;0;0;0;0
