Município;2021;2020;2019;2018;2017
Ma-Paulo Ramos;0;0;0;0;0
Ma-Pedreiras;7;3;3;2;0
Ma-Pedro do Rosario;0;0;0;0;0
Ma-Penalva;0;0;0;0;0
Ma-Peri Mirim;0;0;0;0;0
Ma-Peritoro;0;0;0;0;0
Ma-Pindare-Mirim;0;0;0;0;0
Ma-Pinheiro;0;0;0;0;0
Ma-Pio Xii;0;0;0;0;0
Ma-Pirapemas;0;0;0;0;0
Ma-Pocao de Pedras;0;0;0;0;0
Ma-Porto Franco;0;3;1;0;0
Ma-Porto Rico do Maranhao;0;0;0;0;0
Ma-Presidente Dutra;7;7;4;5;0
Ma-Presidente Juscelino;0;0;0;0;0
Ma-Presidente Medici;0;0;0;0;0
Ma-Presidente Sarney;0;0;0;0;0
Ma-Presidente Vargas;0;0;0;0;0
Ma-Primeira Cruz;0;0;0;0;0
Ma-Raposa;3;3;3;3;3
Ma-Riachao;0;0;0;0;0
Ma-Ribamar Fiquene;0;0;0;0;0
Ma-Rosario;0;0;0;0;0
Ma-Sambaiba;0;0;0;0;0
Ma-Santa Filomena do Maranhao;0;0;0;0;0
Ma-Santa Helena;0;0;0;0;0
Ma-Santa Ines;13;0;0;0;0
Ma-Santa Luzia;0;0;0;0;0
Ma-Santa Luzia do Parua;0;0;0;0;0
Ma-Santa Quiteria do Maranhao;0;0;0;0;0
Ma-Santa Rita;0;0;0;0;0
Ma-Santana do Maranhao;0;0;0;0;0
Ma-Santo Amaro do Maranhao;0;0;0;0;0
Ma-Santo Antonio dos Lopes;0;0;0;0;0
Ma-Sao Benedito do Rio Preto;0;0;0;0;0
Ma-Sao Bento;0;0;0;0;0
Ma-Sao Bernardo;0;0;0;0;0
Ma-Sao Domingos do Azeitao;0;0;0;0;0
Ma-Sao Domingos do Maranhao;0;0;0;0;0
Ma-Sao Felix de Balsas;0;0;0;0;0
Ma-Sao Francisco do Brejao;0;0;0;0;0
Ma-Sao Francisco do Maranhao;0;0;0;0;0
Ma-Sao Joao Batista;0;0;0;0;0
Ma-Sao Joao do Caru;0;0;0;0;0
